# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,
# Fri Apr  6 10:16:57 2018,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum >= 2,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
loc_rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim
8,24 Sex,b,2,452.8,2.1,-4.5,0,1.99,0.26,-0.38,0,Msini,1.54,0.08,-0.08,0
9,24 Sex,c,2,883,32.4,-13.8,0,0.86,0.35,-0.22,0,Msini,1.54,0.08,-0.08,0
20,47 UMa,b,3,1078,2,-2,0,2.53,0.07,-0.06,0,Msini,1.03,0.05,-0.05,0
21,47 UMa,c,3,2391,100,-87,0,0.54,0.066,-0.073,0,Msini,1.03,0.05,-0.05,0
22,47 UMa,d,3,14002,4018,-5095,0,1.64,0.29,-0.48,0,Msini,1.03,0.05,-0.05,0
25,55 Cnc,b,5,14.65152,0.00015,-0.00015,0,0.8306,0.0033,-0.0033,0,Mass,0.91,0.01,-0.01,0
26,55 Cnc,c,5,44.4175,0.0073,-0.0073,0,0.1714,0.0055,-0.0055,0,Mass,0.91,0.01,-0.01,0
27,55 Cnc,d,5,4825,39,-39,0,3.878,0.068,-0.068,0,Mass,0.91,0.01,-0.01,0
28,55 Cnc,e,5,0.736539,0.000007,-0.000007,0,0.02542,0.00098,-0.00098,0,Mass,0.91,0.01,-0.01,0
29,55 Cnc,f,5,262,0.51,-0.51,0,0.141,0.012,-0.012,0,Mass,0.91,0.01,-0.01,0
31,61 Vir,b,3,4.215,0.0006,-0.0006,0,0.016,0.002,-0.002,0,Msini,0.94,0.03,-0.03,0
32,61 Vir,c,3,38.021,0.034,-0.034,0,0.057,0.003,-0.003,0,Msini,0.94,0.03,-0.03,0
33,61 Vir,d,3,123.01,0.55,-0.55,0,0.072,0.008,-0.008,0,Msini,0.94,0.03,-0.03,0
46,BD+20 2457,b,2,379.63,2.01,-2.01,0,21.42,,,0,Msini,2.8,1.5,-1.5,0
47,BD+20 2457,c,2,621.99,10.2,-10.2,0,12.47,,,0,Msini,2.8,1.5,-1.5,0
53,BD-06 1339,b,2,3.8728,0.0004,-0.0004,0,0.027,0.004,-0.004,0,Msini,0.7,,,0
54,BD-06 1339,c,2,125.94,0.44,-0.44,0,0.17,0.03,-0.03,0,Msini,0.7,,,0
55,BD-08 2823,b,2,5.6,0.02,-0.02,0,0.045,0.007,-0.007,0,Msini,0.74,0.07,-0.07,0
