DATE		res	tau	a_i	a_o		Delta	M_i,M_o		w_i,w_o		incl	N
18-03-29	2:1	1e5	R(5,6)	a_res + .2	-0.3	0,R(0,360)	0,R(0,260)	0	648
18-04-20b	2:1	1e6	R(5,6)	a_res + .2	-0.3	"		"		0	435
18-06-XXa	2:1	1e6	R(5,6)	a_res + .2	-0.3	"		"		10	N.A.
18-06-XXe	2:1	1e6	R(5,6)	a_res + .2	-0.3	"		"		20	388
18-06-XXj	2:1	1e6	R(5,6)	a_res + .2	-0.3	"		"		40	322
18-06-XXn	2:1	1e6	R(5,6)	a_res + .2	-0.3	"		"		60	341
18-06-XXs	2:1	1e6	R(5,6)	a_res + .2	-0.3	"		"		80	402
20-01-17	2:1	1e6	5	8.963		-1.11	"		"		0	571
20-02-08	2:1	1e6	5	8.963		-1.11	"		"		0	492
20-02-13	2:1	1e5	5	8.963		-1.11	"		"		0	600
20-02-26	2:1	1e4	5	8.963		-1.11	"		"		0	600
20-03-05	2:1	1e3	5	8.963		-1.11	"		"		0	600
20-03-14	2:1	1e3	5	8.963		-1.56	"		"		0	600
20-03-31	2:1	1e3	5	8.963		-1.56	"		"		0	600
20-04-02	2:1	1e1	5	8.963		-1.56	"		"		0	600
20-04-08a	2:1	5e1	5	8.963		-1.56	"		"		0	600
20-04-08b	2:1	1e2	5	8.963		-1.56	"		"		0	600

18-03-22	3:2	1e5	R(5,6)	a_res + .2	-0.3	"		"		0	733
18-04-20a	3:2	1e6	R(5,6)	a_res + .2	-0.3	"		"		0	354
18-06-XXb	3:2	1e6	R(5,6)	a_res + .2	-0.3	"		"		10	105
18-06-XXf	3:2     1e6	R(5,6)	a_res + .2	-0.3	"		"		20	304
18-06-XXk	3:2     1e6	R(5,6)	a_res + .2	-0.3	"		"		40	400
18-06-XXo	3:2     1e6	R(5,6)	a_res + .2	-0.3	"		"		60	433
18-06-XXt	3:2     1e6	R(5,6)	a_res + .2	-0.3	"		"		80	400
20-03-22	3:2	1e3	5	6.745		-0.369	"		"		0	600

18-03-24	4:3	1e5	R(5,6)	a_res + .2	-0.3	"		"		0	700
18-04-19b	4:3	1e6	R(5,6)	a_res + .2	-0.3	"		"		0	580
18-06-XXg	4:3     1e6	R(5,6)	a_res + .2	-0.3	"		"		20	190
18-06-XXp	4:3     1e6	R(5,6)	a_res + .2	-0.3	"		"		60	110
18-06-XXu	4:3     1e6	R(5,6)	a_res + .2	-0.3	"		"		80	390
20-03-27	4:3	1e3	5	6.138		-0.167	"		"		0	600

18-04-19a	5:3	1e5	R(5,6)	a_res + .2	-0.3	"		"		0	394
18-04-23b	5:3	1e6	R(5,6)	a_res + .2	-0.3	"		"		0	529
18-06-XXc	5:3	1e6	R(5,6)	a_res + .2	-0.3	"		"		10	N.A.
18-06-XXh	5:3     1e6	R(5,6)	a_res + .2	-0.3	"		"		20	387
18-06-XXl	5:3     1e6	R(5,6)	a_res + .2	-0.3	"		"		40	400
18-06-XXq	5:3     1e6	R(5,6)	a_res + .2	-0.3	"		"		60	403
18-06-XXv	5:3     1e6	R(5,6)	a_res + .2	-0.3	"		"		80	400
20-03-25	5:3	1e5	5	7.399		-0.417	"		"		0	440

18-03-30	7:5	1e5	R(5,6)	a_res + .2	-0.3	"		"		0	542
18-04-23a	7:5	1e6	R(5,6)	a_res + .2	-0.3	"		"		0	429
18-06-XXd	7:5	1e6	R(5,6)	a_res + .2	-0.3	"		"		10	52
18-06-XXi	7:5     1e6	R(5,6)	a_res + .2	-0.3	"		"		20	331
18-06-XXm	7:5     1e6	R(5,6)	a_res + .2	-0.3	"		"		40	146
18-06-XXr	7:5     1e6	R(5,6)	a_res + .2	-0.3	"		"		60	377
18-06-XXw	7:5	1e6	R(5,6)	a_res + .2	-0.3	"		"		80	394
20-03-30	7:5	1e3	5	6.376		-0.238	"		"		0	600

18-04-23c	5:2	1e6	R(5,6)	a_res + .2	-0.3	"		"		0	N.A.
